userid,rank-type,contest1,contest2,contest3,contest4,contest5,contest6,contest7,contest8,contest9,contest10
3143927301,Candidate Master,2078,2055,2115,2047,2024,2010,1953,1936,2042,2045
1876577621,Master,2194,2114,2152,2179,2211,2154,2170,2141,2157,2209
6397741793,Master,2120,2206,2147,2234,2294,2090,2089,2072,2085,2114
3090123616,Master,2224,2222,2166,2116,2029,2113,2104,2096,2115,2163
9564162806,Master,2128,2120,2072,2018,1963,2039,1932,1963,1960,1886
3796242163,Candidate Master,1987,2040,2101,2139,2102,1996,1765,1734,1581,1769
8332225684,Master,2114,2132,2094,2063,1960,1947,1987,1822,1716,1454
5454867391,Candidate Master,2034,2016,1873,1892,1863,1825,2012,2164,2125,2208
7429241387,Master,2117,2170,2149,2071,2084,2023,1998,1910,1815,1973
1747131862,Master,2242,2005,2041,2029,1851,1756,1746,1643,1712,1507
1292939055,Master,2147,2143,2191,2150,2107,2024,2095,2141,2065,2092
4227484046,Master,2231,2100,2166,2099,2041,2003,1941,1891,1843,1833
6519694127,Master,2247,2054,2025,2046,2137,2058,2000,2022,2022,2002
2390250517,Candidate Master,2042,2062,1936,1925,1830,1791,1842,1866,1918,1851
8537238232,Candidate Master,2018,2015,2074,2143,2056,1905,1997,2066,2134,2175
7611210823,Master,2139,2158,2195,2108,2125,2213,2219,2231,2193,2201
9104862886,Master,2146,2121,2051,2012,2009,2029,1945,1926,1971,2049
9412604737,Candidate Master,1992,1777,1834,1923,1675,1798,1720,1940,1651,1289
9448189295,Master,2244,2157,2062,2158,2088,2020,1996,1987,2032,2066
4316527424,Master,2121,2084,2084,1998,1961,1977,1966,1920,2005,2118
8045623301,Master,2190,2237,2143,2218,2175,2205,2092,2127,2181,2251
6565997964,Master,2113,2245,2356,2215,2084,1987,1993,1716,1176,656
5486469395,Candidate Master,2070,1998,2038,2040,2051,2164,2123,2156,2065,2013
1139194040,Master,2257,2034,2086,2170,2182,2043,2154,2076,2148,2077
7222518630,Master,2120,2147,2060,1952,1874,1910,1931,2084,2028,1979
5697119644,Candidate Master,2084,1903,1812,1832,1697,1631,1540,1472,1653,1674
7275605488,Master,2225,2113,2111,2121,2070,2074,2110,2049,2133,2199
3628203182,Candidate Master,1981,1994,1995,2002,1931,1916,1905,2049,2106,2037
5202983623,Master,2123,2100,2142,2157,2061,2159,2085,2079,2044,2053
2784261221,Master,2291,2254,2328,2336,2297,2286,2300,2298,2142,2014
4335277986,Master,2161,2163,2180,2229,2237,2301,2242,2296,2267,2304
5244965339,Master,2118,2108,2137,2071,2051,2020,2008,2011,1892,1877
8598490635,Candidate Master,2012,1900,1886,1915,1942,1954,1923,1925,1784,1704
6364854274,Master,2146,2080,2081,1962,1954,1993,2143,2156,2109,2181
1950641353,Candidate Master,2082,2078,2052,1984,1955,1910,2025,2064,2084,2141
9043422670,Master,2142,2087,2033,2007,1952,1989,1998,2044,2078,2079
3163718259,Master,2229,2120,2197,2217,2261,2232,2145,2190,2184,2059
1106450952,Candidate Master,2098,2095,2071,2002,2082,2012,2093,2011,2046,1909
7867088828,Candidate Master,2047,2080,1970,1847,1886,1882,1925,1896,1758,1689
2458251346,Candidate Master,1998,1907,1751,1799,1745,1781,1768,1832,1712,1678
7078606195,Master,2186,2075,2107,2085,2107,2071,2043,1975,1958,1971
6271249597,Master,2181,2179,2119,2242,2194,2188,2180,2164,2078,2074
8587786476,Master,2192,2136,1878,1615,1148,572,,,,
